abase
abash
abate
abbreviate
abduct
abhor
abolish
abrade
abridge
abstract
abuse
accelerate
accept
acclaim
accompany
accrue
accumulate
accurse
acetify
acidify
acknowledge
activate
address
admire
admit
adopt
adore
adorn
advance
affect
affirm
afflict
affront
africanize
age
agglomerate
aggravate
aggrieve
agitate
agonize
air
alarm
alert
alienate
alkalify
allow
alter
amaze
ameliorate
americanize
amplify
amuse
analyze
anchor
anesthetize
anger
anglicize
animate
annex
annihilate
annoy
antagonize
